year,parent_entity,parent_type,commodity,production_value_ft,production_unit,total_emissions_MtCO2e,production_value
1989,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,461.506,Bcf/yr,33.63935249,138.4518
1990,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,595.7,Million bbl/yr,237.5519932,595.7
1990,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,487.8882,Bcf/yr,35.56236135,146.36646
1991,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,722.7,Million bbl/yr,288.1967861,722.7
1991,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,554.65254,Bcf/yr,40.42884016,166.395762
1992,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,672.3,Million bbl/yr,268.0983801,672.3
1992,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,586.6791,Bcf/yr,42.76326862,176.00373
1993,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,654.1,Million bbl/yr,260.8406223,654.1
1993,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,599.17451,Bcf/yr,43.67406393,179.752353
1994,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,678.2,Million bbl/yr,270.4511697,678.2
1994,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,696.5514,Bcf/yr,50.77190345,208.96542
1995,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,683.6,Million bbl/yr,272.6045703,683.6
1995,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,621.3687,Bcf/yr,45.2918071,186.41061
1996,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,673.8,Million bbl/yr,268.6965469,673.8
1996,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,666.9343695,Bcf/yr,48.61310654,200.0803109
1997,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,708.1,Million bbl/yr,282.3746288,708.1
1997,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,712.6814205,Bcf/yr,51.94762694,213.8044262
1998,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,748.3,Million bbl/yr,298.4055002,748.3
1998,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,861.6736398,Bcf/yr,62.80772797,258.5020919
1999,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,673.4,Million bbl/yr,268.5370358,673.4
1999,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,1023.4287,Bcf/yr,74.59811745,307.02861
2000,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,695.4,Million bbl/yr,277.3101495,695.4
2000,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,1031.83367,Bcf/yr,75.21075899,309.550101
2001,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,669.8,Million bbl/yr,267.1014353,669.8
2001,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,1081.027465,Bcf/yr,78.79651392,324.3082395
2002,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,616.9,Million bbl/yr,246.0060846,616.9
2002,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,1190.53928,Bcf/yr,86.77887286,357.161784
2003,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,675.3,Million bbl/yr,269.2947138,675.3
2003,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,1228.856055,Bcf/yr,89.57179755,368.6568165
2004,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,713.6,Million bbl/yr,284.5679072,713.6
2004,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,1269.64488,Bcf/yr,92.54491092,380.893464
2005,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,839.5,Million bbl/yr,334.7740444,839.5
2005,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,1279.53308,Bcf/yr,93.26566568,383.859924
2006,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,894.3,Million bbl/yr,356.6270732,894.3
2006,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,1341.33433,Bcf/yr,97.77038292,402.400299
2007,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,846.8,Million bbl/yr,337.6851231,846.8
2007,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,1396.21384,Bcf/yr,101.7705718,418.864152
2008,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,888.8,Million bbl/yr,354.4337947,888.8
2008,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,1382.86477,Bcf/yr,100.7975529,414.859431
2009,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,779.3,Million bbl/yr,310.767615,779.3
2009,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,1305.217683,Bcf/yr,95.13782642,391.5653049
2010,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,789.1,Million bbl/yr,314.6756384,789.1
2010,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,1394.2362,Bcf/yr,101.6264209,418.27086
2011,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,913.191,Million bbl/yr,364.1603864,913.191
2011,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,1618.077754,Bcf/yr,117.9423191,485.4233262
2012,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,948.2,Million bbl/yr,378.1212018,948.2
2012,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,1959.136813,Bcf/yr,142.8022471,587.7410439
2013,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,996.928,Million bbl/yr,397.5528512,996.928
2013,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,1934.149146,Bcf/yr,140.9808863,580.2447438
2014,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,1002.179,Million bbl/yr,399.6468339,1002.179
2014,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,1964.320589,Bcf/yr,143.1800945,589.2961767
2015,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,1068.575,Million bbl/yr,426.1240912,1068.575
2015,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,1918.427996,Bcf/yr,139.8349655,575.5283988
2016,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,1095,Million bbl/yr,436.6617971,1095
2016,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,1965.869177,Bcf/yr,143.2929717,589.7607531
2017,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,1186.25,Million bbl/yr,473.0502802,1186.25
2017,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,2129.691609,Bcf/yr,155.2340527,638.9074827
2018,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,1277.5,Million bbl/yr,509.4387633,1277.5
2018,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,2510.134941,Bcf/yr,182.9647157,753.0404823
2019,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,1350.5,Million bbl/yr,538.5495497,1350.5
2019,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,2612.589429,Bcf/yr,190.4326633,783.7768287
2020,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,1277.5,Million bbl/yr,509.4387633,1277.5
2020,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,2689.430294,Bcf/yr,196.033624,806.8290882
2021,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,1277.5,Million bbl/yr,509.4387633,1277.5
2021,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,2689.430294,Bcf/yr,196.033624,806.8290882
2022,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,1277.5,Million bbl/yr,509.4387633,1277.5
2022,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,2689.430294,Bcf/yr,196.033624,806.8290882
2012,Adani Enterprises,Investor-owned Company,Sub-Bituminous Coal,4,Million tonnes/yr,8.076361774,4
2013,Adani Enterprises,Investor-owned Company,Sub-Bituminous Coal,4.09,Million tonnes/yr,8.258079914,4.09
2014,Adani Enterprises,Investor-owned Company,Sub-Bituminous Coal,7.92,Million tonnes/yr,15.99119631,7.92
2015,Adani Enterprises,Investor-owned Company,Sub-Bituminous Coal,10.36,Million tonnes/yr,20.917777,10.36
2016,Adani Enterprises,Investor-owned Company,Sub-Bituminous Coal,11.45,Million tonnes/yr,23.11858558,11.45
2017,Adani Enterprises,Investor-owned Company,Sub-Bituminous Coal,11.15,Million tonnes/yr,22.51285845,11.15
2018,Adani Enterprises,Investor-owned Company,Sub-Bituminous Coal,16.9,Million tonnes/yr,34.1226285,16.9
2019,Adani Enterprises,Investor-owned Company,Sub-Bituminous Coal,13.261,Million tonnes/yr,26.77515837,13.261
2020,Adani Enterprises,Investor-owned Company,Sub-Bituminous Coal,15.72,Million tonnes/yr,31.74010177,15.72
2021,Adani Enterprises,Investor-owned Company,Sub-Bituminous Coal,26.78,Million tonnes/yr,54.07124208,26.78
2022,Adani Enterprises,Investor-owned Company,Sub-Bituminous Coal,34.9,Million tonnes/yr,70.46625648,34.9
1992,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,1,Million tonnes/yr,2.019090444,1
1993,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,1.4,Million tonnes/yr,2.826726621,1.4
1994,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,2.4,Million tonnes/yr,4.845817065,2.4
1995,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,5.5,Million tonnes/yr,11.10499744,5.5
1996,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,8.6,Million tonnes/yr,17.36417782,8.6
1997,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,9.4,Million tonnes/yr,18.97945017,9.4
1998,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,10.9,Million tonnes/yr,22.00808584,10.9
1999,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,13.6,Million tonnes/yr,27.45963003,13.6
2000,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,15.5,Million tonnes/yr,31.29590188,15.5
2001,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,17.7,Million tonnes/yr,35.73790085,17.7
2002,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,20.8,Million tonnes/yr,41.99708123,20.8
2003,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,22.5,Million tonnes/yr,45.42953498,22.5
2004,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,24.3,Million tonnes/yr,49.06389778,24.3
2005,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,26.7,Million tonnes/yr,53.90971484,26.7
2006,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,34.4,Million tonnes/yr,69.45671126,34.4
2007,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,36.1,Million tonnes/yr,72.88916501,36.1
2008,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,38.5,Million tonnes/yr,77.73498208,38.5
2009,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,40.6,Million tonnes/yr,81.97507201,40.6
2010,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,42.2,Million tonnes/yr,85.20561672,42.2
2011,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,47.7,Million tonnes/yr,96.31061416,47.7
2012,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,47.2,Million tonnes/yr,95.30106894,47.2
2013,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,52.3,Million tonnes/yr,105.5984302,52.3
2014,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,56.2,Million tonnes/yr,113.4728829,56.2
2015,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,51.5,Million tonnes/yr,103.9831578,51.5
2016,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,52.38,Million tonnes/yr,105.7599574,52.38
2016,Adaro Energy,Investor-owned Company,Metallurgical Coal,0.22,Million tonnes/yr,0.6526557567,0.22
2017,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,50.9,Million tonnes/yr,102.7717036,50.9
2017,Adaro Energy,Investor-owned Company,Metallurgical Coal,0.9,Million tonnes/yr,2.669955368,0.9
2018,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,48.23,Million tonnes/yr,97.3807321,48.23
2018,Adaro Energy,Investor-owned Company,Metallurgical Coal,5.77,Million tonnes/yr,17.11738053,5.77
2019,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,52.8073,Million tonnes/yr,106.6227148,52.8073
2019,Adaro Energy,Investor-owned Company,Metallurgical Coal,5.2227,Million tonnes/yr,15.493751,5.2227
2020,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,49.6223,Million tonnes/yr,100.1919117,49.6223
2020,Adaro Energy,Investor-owned Company,Metallurgical Coal,4.9077,Million tonnes/yr,14.55926662,4.9077
2021,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,49.8542,Million tonnes/yr,100.6601388,49.8542
2021,Adaro Energy,Investor-owned Company,Metallurgical Coal,2.8458,Million tonnes/yr,8.442398874,2.8458
2022,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,59.51,Million tonnes/yr,120.1560723,59.51
2022,Adaro Energy,Investor-owned Company,Metallurgical Coal,3.37,Million tonnes/yr,9.997499546,3.37
1996,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,8.164746441,Million tonnes/yr,22.16025695,8.164746441
1997,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,9.888415134,Million tonnes/yr,26.83853342,9.888415134
1998,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,12.15640026,Million tonnes/yr,32.99416036,12.15640026
1999,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,12.79143609,Million tonnes/yr,34.7177359,12.79143609
2000,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,12.42855847,Million tonnes/yr,33.73283559,12.42855847
2001,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,14.24294657,Million tonnes/yr,38.65733713,14.24294657
2002,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,16.32949288,Million tonnes/yr,44.32051391,16.32949288
2003,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,17.41812574,Million tonnes/yr,47.27521484,17.41812574
2004,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,18.48589314,Million tonnes/yr,50.173284,18.48589314
2005,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,20.77474372,Million tonnes/yr,56.3855427,20.77474372
2006,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,21.50049896,Million tonnes/yr,58.35534331,21.50049896
2007,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,22.04481539,Million tonnes/yr,59.83269378,22.04481539
2008,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,23.97623152,Million tonnes/yr,65.07482567,23.97623152
2009,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,23.44007984,Million tonnes/yr,63.61963547,23.44007984
2010,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,26.18162025,Million tonnes/yr,71.0605573,26.18162025
2011,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,27.89893859,Million tonnes/yr,75.72159801,27.89893859
2012,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,31.57035291,Million tonnes/yr,85.68632689,31.57035291
2013,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,35.18279961,Million tonnes/yr,95.49100947,35.18279961
2014,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,36.9672503,Million tonnes/yr,100.3342567,36.9672503
2015,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,37.35643655,Million tonnes/yr,101.3905623,37.35643655
2016,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,31.97314706,Million tonnes/yr,86.77956624,31.97314706
2017,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,34.11866099,Million tonnes/yr,92.60278931,34.11866099
2018,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,36.52907558,Million tonnes/yr,99.14498962,36.52907558
2019,Alliance Resource Partners,Investor-owned Company,Oil & NGL,1.105,Million bbl/yr,0.440649576,1.105
2019,Alliance Resource Partners,Investor-owned Company,Natural Gas,3.664,Bcf/yr,0.2670703903,1.0992
2019,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,36.27052527,Million tonnes/yr,98.44324815,36.27052527
2020,Alliance Resource Partners,Investor-owned Company,Oil & NGL,1.285,Million bbl/yr,0.5124295975,1.285
2020,Alliance Resource Partners,Investor-owned Company,Natural Gas,3.635,Bcf/yr,0.264956569,1.0905
2020,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,24.48516738,Million tonnes/yr,66.45614836,24.48516738
2021,Alliance Resource Partners,Investor-owned Company,Oil & NGL,1.182,Million bbl/yr,0.4713554741,1.182
2021,Alliance Resource Partners,Investor-owned Company,Natural Gas,3.49,Bcf/yr,0.2543874624,1.047
2021,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,29.21799874,Million tonnes/yr,79.30171064,29.21799874
2022,Alliance Resource Partners,Investor-owned Company,Oil & NGL,1.513,Million bbl/yr,0.603350958,1.513
2022,Alliance Resource Partners,Investor-owned Company,Natural Gas,4.838,Bcf/yr,0.3526437086,1.4514
2022,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,32.18452328,Million tonnes/yr,87.35327067,32.18452328
1981,Alpha Metallurgical Resources,Investor-owned Company,Bituminous Coal,9.268656529,Million tonnes/yr,25.15642241,9.268656529
1981,Alpha Metallurgical Resources,Investor-owned Company,Metallurgical Coal,3.440288677,Million tonnes/yr,10.20601914,3.440288677
1982,Alpha Metallurgical Resources,Investor-owned Company,Bituminous Coal,12.26243259,Million tonnes/yr,33.28194685,12.26243259
1982,Alpha Metallurgical Resources,Investor-owned Company,Metallurgical Coal,4.55150192,Million tonnes/yr,13.50256332,4.55150192
1983,Alpha Metallurgical Resources,Investor-owned Company,Bituminous Coal,12.05336122,Million tonnes/yr,32.71449808,12.05336122
1983,Alpha Metallurgical Resources,Investor-owned Company,Metallurgical Coal,4.473899966,Million tonnes/yr,13.27234803,4.473899966
1984,Alpha Metallurgical Resources,Investor-owned Company,Bituminous Coal,15.57515514,Million tonnes/yr,42.27313641,15.57515514
1984,Alpha Metallurgical Resources,Investor-owned Company,Metallurgical Coal,5.781099961,Million tonnes/yr,17.15030986,5.781099961
1985,Alpha Metallurgical Resources,Investor-owned Company,Bituminous Coal,16.14811655,Million tonnes/yr,43.82823333,16.14811655
1985,Alpha Metallurgical Resources,Investor-owned Company,Metallurgical Coal,5.993768606,Million tonnes/yr,17.7812163,5.993768606
1986,Alpha Metallurgical Resources,Investor-owned Company,Bituminous Coal,15.36873025,Million tonnes/yr,41.71287055,15.36873025
1986,Alpha Metallurgical Resources,Investor-owned Company,Metallurgical Coal,5.704480311,Million tonnes/yr,16.9230087,5.704480311
1987,Alpha Metallurgical Resources,Investor-owned Company,Bituminous Coal,11.7371077,Million tonnes/yr,31.85614205,11.7371077
1987,Alpha Metallurgical Resources,Investor-owned Company,Metallurgical Coal,4.356514732,Million tonnes/yr,12.92411099,4.356514732
1988,Alpha Metallurgical Resources,Investor-owned Company,Bituminous Coal,11.24751019,Million tonnes/yr,30.52730636,11.24751019
1988,Alpha Metallurgical Resources,Investor-owned Company,Metallurgical Coal,4.174788638,Million tonnes/yr,12.38499926,4.174788638
1989,Alpha Metallurgical Resources,Investor-owned Company,Bituminous Coal,11.18134837,Million tonnes/yr,30.34773399,11.18134837
1989,Alpha Metallurgical Resources,Investor-owned Company,Metallurgical Coal,4.150231059,Million tonnes/yr,12.31214633,4.150231059
1990,Alpha Metallurgical Resources,Investor-owned Company,Bituminous Coal,12.37226121,Million tonnes/yr,33.580037,12.37226121
1990,Alpha Metallurgical Resources,Investor-owned Company,Metallurgical Coal,4.592267503,Million tonnes/yr,13.62349919,4.592267503
1991,Alpha Metallurgical Resources,Investor-owned Company,Bituminous Coal,11.18134837,Million tonnes/yr,30.34773399,11.18134837
1991,Alpha Metallurgical Resources,Investor-owned Company,Metallurgical Coal,4.150231059,Million tonnes/yr,12.31214633,4.150231059
1992,Alpha Metallurgical Resources,Investor-owned Company,Bituminous Coal,11.90912844,Million tonnes/yr,32.32303028,11.90912844
1992,Alpha Metallurgical Resources,Investor-owned Company,Metallurgical Coal,4.420364441,Million tonnes/yr,13.11352863,4.420364441
1993,Alpha Metallurgical Resources,Investor-owned Company,Bituminous Coal,14.55560143,Million tonnes/yr,39.50592588,14.55560143
1993,Alpha Metallurgical Resources,Investor-owned Company,Metallurgical Coal,5.40266765,Million tonnes/yr,16.0276461,5.40266765
1994,Alpha Metallurgical Resources,Investor-owned Company,Bituminous Coal,16.77202256,Million tonnes/yr,45.52160097,16.77202256
1994,Alpha Metallurgical Resources,Investor-owned Company,Metallurgical Coal,6.225346588,Million tonnes/yr,18.46821949,6.225346588
1995,Alpha Metallurgical Resources,Investor-owned Company,Bituminous Coal,18.98844369,Million tonnes/yr,51.53727605,18.98844369
1995,Alpha Metallurgical Resources,Investor-owned Company,Metallurgical Coal,7.048025525,Million tonnes/yr,20.90879287,7.048025525
1996,Alpha Metallurgical Resources,Investor-owned Company,Bituminous Coal,21.10562207,Million tonnes/yr,57.28359253,21.10562207
1996,Alpha Metallurgical Resources,Investor-owned Company,Metallurgical Coal,7.833868093,Million tonnes/yr,23.24008685,7.833868093
